Time:4Hz,Epoch,Channel 1,Event Id,Event Date,Event Duration
0.0000000000,0,1.2748219967,,,
0.2500000000,0,1.2901920080,,,
0.5000000000,0,1.2863490582,,,
0.7500000000,0,1.2863490582,,,
1.0000000000,0,1.2837879658,,,
1.2500000000,0,1.2850680351,,,
1.5000000000,0,1.2773840427,,,
1.7500000000,0,1.2799450159,,,
2.0000000000,0,1.2965960503,,,
2.2500000000,0,1.2991570234,,,
2.5000000000,0,1.2991570234,,,
2.7500000000,0,1.3286149502,,,
3.0000000000,0,1.3286149502,,,
3.2500000000,0,1.3337390423,,,
3.5000000000,0,1.3324580193,,,
3.7500000000,0,1.3337390423,,,
4.0000000000,0,1.3311769962,,,
4.2500000000,0,1.3350189924,,,
4.5000000000,0,1.3260539770,,,
4.7500000000,0,1.3286149502,,,
5.0000000000,0,1.3363000154,,,
5.2500000000,0,1.3324580193,,,
5.5000000000,0,1.3273350000,,,
5.7500000000,0,1.3273350000,,,
6.0000000000,0,1.3222110271,,,
6.2500000000,0,1.3196500540,,,
6.5000000000,0,1.3234920502,,,
6.7500000000,0,1.3170880079,,,
7.0000000000,0,1.3081229925,,,
7.2500000000,0,1.3081229925,,,
7.5000000000,0,1.3029990196,,,
7.7500000000,0,1.2889109850,,,
8.0000000000,1,1.2837879658,,,
8.2500000000,1,1.2786639929,,,
8.5000000000,1,1.2850680351,,,
8.7500000000,1,1.2735409737,,,
9.0000000000,1,1.2748219967,,,
9.2500000000,1,1.2696989775,,,
9.5000000000,1,1.2645759583,,,
9.7500000000,1,1.2568910122,,,
10.0000000000,1,1.2594530582,,,
10.2500000000,1,1.2748219967,,,
10.5000000000,1,1.2543289661,,,
10.7500000000,1,1.2453639507,,,
11.0000000000,1,1.2440830469,,,
11.2500000000,1,1.2402410507,,,
11.5000000000,1,1.2210290432,,,
11.7500000000,1,1.2005360126,,,
12.0000000000,1,1.2095019817,,,
12.2500000000,1,1.2043789625,,,
12.5000000000,1,1.2069400549,,,
12.7500000000,1,1.2005360126,,,
13.0000000000,1,1.2056590319,,,
13.2500000000,1,1.1979750395,,,
13.5000000000,1,1.2005360126,,,
13.7500000000,1,1.1966940165,,,
14.0000000000,1,1.2005360126,,,
14.2500000000,1,1.1992549896,,,
14.5000000000,1,1.2005360126,,,
14.7500000000,1,1.1902899742,,,
15.0000000000,1,1.1877280474,,,
15.2500000000,1,1.1902899742,,,
15.5000000000,1,1.2056590319,,,
15.7500000000,1,1.2043789625,,,
16.0000000000,2,1.2120629549,,,
16.2500000000,2,1.2095019817,,,
16.5000000000,2,1.2095019817,,,
