Time:4Hz,Epoch,Channel 1,Event Id,Event Date,Event Duration
0.0000000000,0,4.3344879150,,,
0.2500000000,0,4.3472971916,,,
0.5000000000,0,4.4164638519,,,
0.7500000000,0,4.5138101578,,,
1.0000000000,0,4.6009092331,,,
1.2500000000,0,4.6585478783,,,
1.5000000000,0,4.7110629082,,,
1.7500000000,0,4.7149062157,,,
2.0000000000,0,4.6739177704,,,
2.2500000000,0,4.6303691864,,,
2.5000000000,0,4.5906620026,,,
2.7500000000,0,4.5855379105,,,
3.0000000000,0,4.5932240486,,,
3.2500000000,0,4.6111559868,,,
3.5000000000,0,4.6111559868,,,
3.7500000000,0,4.6021900177,,,
4.0000000000,0,4.5727300644,,,
4.2500000000,0,4.5394268036,,,
4.5000000000,0,4.5010008812,,,
4.7500000000,0,4.4753842354,,,
5.0000000000,0,4.4523282051,,,
5.2500000000,0,4.4472050667,,,
5.5000000000,0,4.4267110825,,,
5.7500000000,0,4.4164638519,,,
6.0000000000,0,4.3985309601,,,
6.2500000000,0,4.3882851601,,,
6.5000000000,0,4.3639478683,,,
6.7500000000,0,4.3562631607,,,
7.0000000000,0,4.3370499611,,,
7.2500000000,0,4.3242411613,,,
7.5000000000,0,4.3024659157,,,
7.7500000000,0,4.2973427773,,,
8.0000000000,1,4.2819719315,,,
8.2500000000,1,4.2717261314,,,
8.5000000000,1,4.2614779472,,,
8.7500000000,1,4.2537927628,,,
9.0000000000,1,4.2435460091,,,
9.2500000000,1,4.2358608246,,,
9.5000000000,1,4.2422661781,,,
9.7500000000,1,4.2217721939,,,
10.0000000000,1,4.2076821327,,,
10.2500000000,1,4.1910309792,,,
10.5000000000,1,4.1961550713,,,
10.7500000000,1,4.1846270561,,,
11.0000000000,1,4.1871881485,,,
11.2500000000,1,4.1769409180,,,
11.5000000000,1,4.1705369949,,,
11.7500000000,1,4.1628518105,,,
12.0000000000,1,4.1526050568,,,
12.2500000000,1,4.1436390877,,,
12.5000000000,1,4.1397957802,,,
12.7500000000,1,4.1321110725,,,
13.0000000000,1,4.1257071495,,,
13.2500000000,1,4.1180210114,,,
13.5000000000,1,4.1116170883,,,
13.7500000000,1,4.0988078117,,,
14.0000000000,1,4.0949659348,,,
14.2500000000,1,4.0872812271,,,
14.5000000000,1,4.0795960426,,,
14.7500000000,1,4.0808758736,,,
15.0000000000,1,4.0795960426,,,
15.2500000000,1,4.1013698578,,,
15.5000000000,1,4.1205830574,,,
15.7500000000,1,4.1474809647,,,
16.0000000000,2,4.1641330719,,,
16.2500000000,2,4.1743798256,,,
16.5000000000,2,4.1666941643,,,
16.7500000000,2,4.1602897644,,,
17.0000000000,2,4.1385149956,,,
