1653563734.000000, 1653563734.000000, 1653563734.000000
32.000000, 32.000000, 32.000000
-46,12,45
-46,12,45
-46,13,45
-46,13,45
-46,13,45
-45,13,46
-46,13,46
-46,13,45
-46,13,46
-46,13,45
-45,13,46
-45,13,45
-46,13,45
-46,13,45
-46,12,45
-46,12,46
-46,12,45
-45,12,46
-45,13,46
-46,13,45
-45,13,46
-46,13,45
-47,13,45
-45,13,45
-46,14,46
-46,14,46
-44,14,46
-44,14,46
-44,14,45
-45,14,46
-45,14,45
-46,14,46
-45,14,46
-46,14,46
-45,14,45
-45,14,45
-45,13,45
-46,13,46
-46,13,46
-46,13,45
-45,13,46
-46,14,45
-46,14,45
-45,14,46
-45,13,46
-46,13,46
-44,14,46
-45,14,46
-46,13,45
-45,13,46
-45,14,46
-46,13,46
-45,13,46
-45,13,46
-46,13,46
-45,13,46
-45,13,46
-46,13,45
-45,13,46
-45,14,46
-45,14,46
-45,14,46
-45,13,46
-45,13,46
-45,13,46
-45,13,46
-46,13,45
-45,13,46
-45,13,46
-46,13,46
-45,13,46
-45,13,46
-45,13,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,13,46
-45,14,46
-45,14,46
-45,13,46
-45,14,46
-45,14,46
-45,14,45
-45,13,46
-44,13,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-44,14,46
-45,14,46
-45,14,46
-44,14,46
-44,14,46
-45,14,46
-44,13,47
-44,13,47
-45,14,47
-45,14,46
-45,15,45
-44,14,46
-44,14,47
-44,14,47
-44,14,46
-44,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-44,13,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,14,46
-45,15,46
-45,15,46
-45,15,46
-45,15,46
-45,14,45
-45,14,46
-45,14,45
-45,14,46
-45,14,46
-45,14,47
-45,14,46
-45,14,46
-45,14,46
-44,14,46
