1653298724.000000, 1653298724.000000, 1653298724.000000
32.000000, 32.000000, 32.000000
-27,-20,-37
-58,-19,-18
-65,-18,-9
-96,-24,-16
-88,-34,-14
-66,-33,-14
-32,-29,-12
-27,-27,-14
-47,-13,-12
-93,-15,-13
-97,-20,-18
-70,-28,-18
-61,-29,-14
-50,-26,-11
-26,-25,-14
-20,-25,-19
-43,-19,-15
-79,-17,-14
-92,-28,-20
-71,-29,-16
-66,-30,-13
-59,-31,-8
-52,-28,-6
-47,-31,-12
-54,-37,-23
-68,-37,-28
-60,-35,-25
-58,-35,-24
-40,-33,-16
-37,-40,-15
-39,-40,-20
-41,-41,-28
-37,-42,-25
-37,-41,-22
-38,-41,-25
-34,-42,-27
-31,-45,-27
-32,-47,-29
-33,-46,-23
-37,-43,-22
-38,-41,-23
-39,-43,-20
-39,-43,-21
-42,-46,-22
-36,-47,-24
-36,-48,-26
-36,-45,-26
-36,-44,-28
-34,-44,-31
-36,-45,-34
-38,-45,-33
-39,-44,-31
-36,-44,-31
-33,-44,-30
-38,-45,-30
-33,-44,-28
-37,-45,-32
-35,-45,-31
-35,-44,-31
-36,-44,-30
-35,-44,-30
-37,-46,-31
-36,-44,-29
-35,-44,-31
-37,-45,-31
-39,-44,-32
-40,-43,-31
-40,-43,-30
-39,-45,-28
-36,-44,-26
-30,-45,-21
-43,-43,-24
-46,-43,-23
-39,-43,-17
-38,-44,-16
-43,-45,-18
-44,-45,-16
-43,-46,-17
-42,-46,-17
-43,-45,-17
-43,-44,-17
-43,-43,-17
-43,-44,-17
-42,-45,-18
-42,-45,-18
-43,-46,-17
-45,-46,-18
-43,-46,-17
-44,-46,-17
-44,-45,-17
-44,-45,-17
-43,-46,-18
-42,-46,-17
-45,-46,-17
-44,-47,-17
-42,-47,-16
-41,-46,-15
-44,-46,-16
-44,-43,-16
-44,-43,-16
-43,-43,-16
-43,-41,-15
-44,-41,-15
-44,-41,-14
-44,-41,-14
-46,-41,-13
-50,-42,-13
-52,-42,-15
-48,-44,-13
-49,-43,-12
-51,-43,-14
-47,-43,-14
-46,-42,-13
-47,-42,-14
-48,-42,-14
-46,-42,-13
-49,-42,-14
-50,-42,-14
-50,-42,-12
-50,-43,-12
-51,-43,-13
-49,-42,-12
-49,-42,-11
-49,-43,-12
-47,-43,-11
-48,-43,-11
-46,-42,-12
-46,-42,-11
-46,-42,-11
-47,-42,-11
-46,-42,-11
-47,-43,-10
-47,-43,-10
-46,-43,-10
-48,-44,-11
-46,-43,-11
-46,-43,-11
-46,-43,-11
-46,-42,-11
-45,-42,-12
-46,-43,-12
-47,-44,-12
-48,-44,-13
-47,-44,-12
-47,-44,-12
-48,-44,-13
-47,-44,-13
-47,-44,-13
-47,-43,-14
-46,-43,-13
-47,-43,-13
-47,-43,-13
-47,-43,-13
-47,-43,-13
-47,-43,-13
