1650285592.000000, 1650285592.000000, 1650285592.000000
32.000000, 32.000000, 32.000000
-67,-6,-13
-64,-6,-13
-64,-6,-13
-63,-7,-14
-63,-6,-11
-64,-5,-12
-62,-5,-12
-60,-6,-12
-61,-6,-12
-61,-6,-13
-63,-6,-14
-65,-5,-14
-65,-5,-14
-64,-4,-15
-63,-5,-15
-62,-5,-14
-63,-6,-14
-63,-6,-15
-62,-6,-14
-62,-6,-14
-63,-6,-15
-62,-7,-15
-61,-6,-15
-62,-7,-17
-61,-7,-18
-61,-7,-18
-60,-7,-20
-59,-8,-21
-59,-7,-22
-58,-6,-21
-56,-7,-20
-57,-8,-22
-58,-8,-20
-59,-8,-20
-61,-8,-22
-62,-8,-26
-67,-5,-22
-66,-4,-19
-64,-1,-16
-64,2,-10
-65,2,-8
-67,4,-6
-67,3,-5
-64,3,-6
-63,2,-8
-64,2,-9
-63,1,-11
-62,1,-12
-63,0,-14
-67,-1,-16
-67,0,-16
-69,1,-16
-69,2,-14
-65,4,-9
-60,6,-4
-57,4,-3
-57,2,-4
-60,1,-7
-61,-3,-7
-59,-5,-12
-60,-5,-13
-66,-6,-16
-66,-6,-18
-60,-5,-14
-62,-3,-13
-62,-3,-13
-64,-2,-12
-64,-2,-10
-65,0,-8
-68,-1,-7
-70,-1,-7
-73,-1,-14
-74,0,-18
-71,-2,-20
-63,0,-16
-58,0,-15
-53,-2,-17
-50,-2,-17
-48,-7,-21
-49,-9,-24
-49,-11,-25
-51,-15,-27
-53,-17,-29
-59,-19,-35
-66,-17,-40
-68,-17,-41
-69,-14,-39
-67,-13,-38
-61,-11,-32
-58,-8,-28
-56,-6,-26
-54,-5,-23
-54,-3,-21
-54,-5,-21
-52,-7,-20
-53,-8,-20
-54,-10,-20
-54,-11,-21
-55,-14,-22
-56,-16,-21
-58,-17,-21
-59,-18,-20
-59,-19,-19
-60,-22,-18
-61,-24,-17
-61,-25,-16
-61,-27,-16
-60,-28,-15
-60,-27,-14
-59,-26,-13
-59,-24,-14
-59,-23,-15
-59,-21,-17
-59,-19,-20
-60,-17,-20
-61,-15,-19
-61,-13,-20
-60,-13,-18
-60,-12,-17
-59,-12,-17
-58,-13,-19
-60,-12,-21
-61,-12,-22
-61,-10,-22
-62,-8,-23
-60,-7,-23
-59,-6,-24
-58,-6,-23
-58,-4,-22
-58,-3,-22
-56,-2,-25
-58,1,-23
-59,2,-20
-66,2,-18
-69,1,-17
-67,0,-13
-62,-4,-15
-61,-5,-17
-61,-6,-19
-60,-6,-20
-59,-8,-22
-59,-9,-22
-57,-9,-22
-57,-10,-24
-57,-10,-26
-58,-10,-26
-59,-9,-28
-59,-8,-27
-60,-6,-25
-61,-5,-24
-62,-5,-22
-61,-5,-21
-61,-5,-19
-60,-6,-18
-61,-5,-18
-61,-6,-21
-61,-8,-21
-60,-8,-21
-58,-11,-24
-59,-10,-26
-60,-9,-27
-61,-6,-27
-60,-5,-27
-60,-1,-25
-59,0,-25
-58,1,-24
-55,0,-22
-55,0,-22
-55,-1,-23
-55,-3,-23
-56,-6,-23
-58,-8,-25
-59,-9,-27
-61,-10,-29
-61,-10,-29
-60,-11,-30
-58,-12,-28
-58,-12,-28
-56,-13,-28
-57,-13,-28
-56,-13,-29
-58,-13,-31
-59,-12,-32
-60,-10,-32
-60,-9,-31
-58,-8,-30
-56,-7,-27
-55,-6,-26
-56,-5,-25
-57,-4,-26
-57,-4,-26
-56,-4,-24
-56,-4,-24
-57,-3,-25
-58,-2,-24
-58,-1,-22
-60,0,-21
-61,1,-21
-63,2,-20
-64,3,-19
-64,3,-18
-64,3,-17
-63,2,-16
-63,0,-17
-64,0,-18
-63,-1,-20
-59,-3,-21
-59,-3,-22
-61,-4,-23
-60,-4,-23
-59,-4,-20
-61,-3,-21
-60,-4,-20
-60,-4,-19
-62,-3,-18
-63,-2,-20
-62,-2,-22
-61,-3,-22
-58,-4,-21
-57,-5,-21
-57,-6,-21
-59,-8,-22
-61,-8,-23
-61,-9,-24
-61,-11,-23
-60,-10,-22
-62,-11,-25
-63,-12,-25
-60,-11,-22
-61,-10,-21
-59,-9,-19
-58,-7,-20
-58,-7,-20
-58,-6,-17
-58,-6,-18
-59,-7,-19
-61,-6,-20
-61,-6,-20
-61,-6,-20
-61,-6,-20
-62,-6,-21
-61,-5,-20
-61,-5,-21
-61,-4,-21
-61,-3,-21
-61,-3,-21
-61,-3,-21
-60,-3,-21
-60,-2,-21
-60,-3,-20
-60,-3,-20
-61,-3,-21
-60,-4,-21
-60,-4,-20
-61,-4,-20
-61,-3,-21
-61,-3,-21
-61,-3,-20
-60,-3,-20
-60,-3,-21
-60,-2,-21
-60,-2,-21
-60,-1,-20
