Time:64Hz,Epoch,Channel 1,Event Id,Event Date,Event Duration
0.0000000000,0,-0.1335601956,,,
0.0156250000,0,-0.1144256964,,,
0.0312500000,0,-0.1942902058,,,
0.0468750000,0,-0.3241424859,,,
0.0625000000,0,-0.4665527046,,,
0.0781250000,0,-0.6139221191,,,
0.0937500000,0,-0.7792510986,,,
0.1093750000,0,-0.9726256728,,,
0.1250000000,0,-1.2029570341,,,
0.1406250000,0,-1.4367220402,,,
0.1562500000,0,-1.6112979650,,,
0.1718750000,0,-1.6600190401,,,
0.1875000000,0,-1.5411529541,,,
0.2031250000,0,-1.2581330538,,,
0.2187500000,0,-0.8724213243,,,
0.2343750000,0,-0.4651794136,,,
0.2500000000,0,-0.1036681980,,,
0.2656250000,0,0.1914978027,,,
0.2812500000,0,0.4329529107,,,
0.2968750000,0,0.6326293945,,,
0.3125000000,0,0.7840728760,,,
0.3281250000,0,0.8659362793,,,
0.3437500000,0,0.8538054824,,,
0.3593750000,0,0.7511444092,,,
0.3750000000,0,0.6055297852,,,
0.3906250000,0,0.4757232964,,,
0.4062500000,0,0.3964081109,,,
0.4218750000,0,0.3674468994,,,
0.4375000000,0,0.3748474121,,,
0.4531250000,0,0.3853302002,,,
0.4687500000,0,0.3868713081,,,
0.4843750000,0,0.3850403130,,,
0.5000000000,0,0.3907471001,,,
0.5156250000,0,0.4208526909,,,
0.5312500000,0,0.4828490913,,,
0.5468750000,0,0.5831298828,,,
0.5625000000,0,0.7202758789,,,
0.5781250000,0,0.8784332275,,,
0.5937500000,0,1.0167390108,,,
0.6093750000,0,1.0732569695,,,
0.6250000000,0,0.9830474854,,,
0.6406250000,0,0.7264099121,,,
0.6562500000,0,0.3387756050,,,
0.6718750000,0,-0.0792846680,,,
0.6875000000,0,-0.4140166938,,,
0.7031250000,0,-0.5669860840,,,
0.7187500000,0,-0.5366973877,,,
0.7343750000,0,-0.3893127143,,,
0.7500000000,0,-0.2386475056,,,
0.7656250000,0,-0.1752929986,,,
0.7812500000,0,-0.2372588962,,,
0.7968750000,0,-0.4036406875,,,
0.8125000000,0,-0.6079406738,,,
0.8281250000,0,-0.7584838867,,,
0.8437500000,0,-0.7924041748,,,
0.8593750000,0,-0.6773682237,,,
0.8750000000,0,-0.4330902100,,,
0.8906250000,0,-0.1228485033,,,
0.9062500000,0,0.1575316936,,,
0.9218750000,0,0.3049468994,,,
0.9375000000,0,0.2515717149,,,
0.9531250000,0,-0.0028381350,,,
0.9687500000,0,-0.3714599907,,,
0.9843750000,0,-0.7161406875,,,
