Time:64Hz,Epoch,Channel 1,Event Id,Event Date,Event Duration
0.0000000000,0,0.0358047485,,,
0.0156250000,0,0.8064498901,,,
0.0312500000,0,1.3583979607,,,
0.0468750000,0,1.7440190315,,,
0.0625000000,0,2.0229868889,,,
0.0781250000,0,2.1915891171,,,
0.0937500000,0,2.1879200935,,,
0.1093750000,0,1.9601969719,,,
0.1250000000,0,1.5374599695,,,
0.1406250000,0,1.0134580135,,,
0.1562500000,0,0.5138549805,,,
0.1718750000,0,0.1136550978,,,
0.1875000000,0,-0.1791305989,,,
0.2031250000,0,-0.3935013115,,,
0.2187500000,0,-0.5338134766,,,
0.2343750000,0,-0.5625534058,,,
0.2500000000,0,-0.4262543023,,,
0.2656250000,0,-0.1119614020,,,
0.2812500000,0,0.3137435913,,,
0.2968750000,0,0.7299118042,,,
0.3125000000,0,1.0286099911,,,
0.3281250000,0,1.1771240234,,,
0.3437500000,0,1.2335209846,,,
0.3593750000,0,1.2822270393,,,
0.3750000000,0,1.3785480261,,,
0.3906250000,0,1.4831919670,,,
0.4062500000,0,1.5019069910,,,
0.4218750000,0,1.3537600040,,,
0.4375000000,0,1.0067369938,,,
0.4531250000,0,0.5063170791,,,
0.4687500000,0,-0.0591964684,,,
0.4843750000,0,-0.5912780762,,,
0.5000000000,0,-1.0107729435,,,
0.5156250000,0,-1.2648769617,,,
0.5312500000,0,-1.3239519596,,,
0.5468750000,0,-1.1824109554,,,
0.5625000000,0,-0.8485565186,,,
0.5781250000,0,-0.3530730903,,,
0.5937500000,0,0.2464676052,,,
0.6093750000,0,0.8744354248,,,
0.6250000000,0,1.4319380522,,,
0.6406250000,0,1.8035509586,,,
0.6562500000,0,1.8709410429,,,
0.6718750000,0,1.5702739954,,,
0.6875000000,0,0.9540100098,,,
0.7031250000,0,0.1919860989,,,
0.7187500000,0,-0.4710845947,,,
0.7343750000,0,-0.8238983154,,,
0.7500000000,0,-0.8221511841,,,
0.7656250000,0,-0.6035308838,,,
0.7812500000,0,-0.4297791123,,,
0.7968750000,0,-0.5191115737,,,
0.8125000000,0,-0.9142761230,,,
0.8281250000,0,-1.4628299475,,,
0.8437500000,0,-1.8787159920,,,
0.8593750000,0,-1.9436719418,,,
0.8750000000,0,-1.5976179838,,,
0.8906250000,0,-1.0205609798,,,
0.9062500000,0,-0.5013884902,,,
0.9218750000,0,-0.2926940918,,,
0.9375000000,0,-0.4833908081,,,
0.9531250000,0,-0.9502028823,,,
0.9687500000,0,-1.4380869865,,,
0.9843750000,0,-1.6933209896,,,
1.0000000000,0,-1.5732729435,,,
1.0156250000,0,-1.1108089685,,,
1.0312500000,0,-0.4689559937,,,
1.0468750000,0,0.1391448975,,,
1.0625000000,0,0.5466843247,,,
1.0781250000,0,0.6889266968,,,
1.0937500000,0,0.6061171889,,,
1.1093750000,0,0.3902817070,,,
1.1250000000,0,0.1411513984,,,
1.1406250000,0,-0.0841979980,,,
1.1562500000,0,-0.2759704888,,,
1.1718750000,0,-0.4403305054,,,
1.1875000000,0,-0.5480269790,,,
1.2031250000,0,-0.5516890883,,,
1.2187500000,0,-0.3915100098,,,
1.2343750000,0,-0.0571289100,,,
1.2500000000,0,0.3729630113,,,
1.2656250000,0,0.7493743896,,,
1.2812500000,0,0.9010391235,,,
1.2968750000,0,0.7338715196,,,
1.3125000000,0,0.2894515991,,,
1.3281250000,0,-0.2749404907,,,
1.3437500000,0,-0.7442855835,,,
1.3593750000,0,-0.9490509033,,,
1.3750000000,0,-0.8101348877,,,
1.3906250000,0,-0.3870238960,,,
1.4062500000,0,0.1932906955,,,
1.4218750000,0,0.7767943740,,,
1.4375000000,0,1.2530360222,,,
1.4531250000,0,1.5814900398,,,
1.4687500000,0,1.7944869995,,,
1.4843750000,0,1.9557950497,,,
1.5000000000,0,2.1266100407,,,
1.5156250000,0,2.3279719353,,,
1.5312500000,0,2.5364229679,,,
1.5468750000,0,2.7019269466,,,
1.5625000000,0,2.7783050537,,,
1.5781250000,0,2.7362289429,,,
1.5937500000,0,2.5786440372,,,
1.6093750000,0,2.3139419556,,,
1.6250000000,0,1.9608230591,,,
1.6406250000,0,1.5440059900,,,
1.6562500000,0,1.0891489983,,,
1.6718750000,0,0.6339188218,,,
1.6875000000,0,0.2254868001,,,
1.7031250000,0,-0.1070479974,,,
1.7187500000,0,-0.3671646118,,,
1.7343750000,0,-0.5911788940,,,
1.7500000000,0,-0.8460388184,,,
1.7656250000,0,-1.1787569523,,,
1.7812500000,0,-1.5989300013,,,
1.7968750000,0,-2.0553131104,,,
1.8125000000,0,-2.4810259342,,,
1.8281250000,0,-2.7959439754,,,
1.8437500000,0,-2.9759290218,,,
1.8593750000,0,-3.0508880615,,,
1.8750000000,0,-3.0860600471,,,
1.8906250000,0,-3.1527628899,,,
1.9062500000,0,-3.2723538876,,,
1.9218750000,0,-3.4001159668,,,
1.9375000000,0,-3.4180910587,,,
1.9531250000,0,-3.1950609684,,,
1.9687500000,0,-2.6373829842,,,
1.9843750000,0,-1.7516399622,,,
2.0000000000,0,-0.6531829834,,,
2.0156250000,0,0.4599075019,,,
2.0312500000,0,1.3774189949,,,
2.0468750000,0,1.9434590340,,,
2.0625000000,0,2.1040949821,,,
2.0781250000,0,1.9121019840,,,
2.0937500000,0,1.4882199764,,,
2.1093750000,0,0.9477385879,,,
2.1250000000,0,0.3796082139,,,
2.1406250000,0,-0.1715317070,,,
2.1562500000,0,-0.6660767198,,,
2.1718750000,0,-1.0623170137,,,
2.1875000000,0,-1.3069690466,,,
2.2031250000,0,-1.3722759485,,,
2.2187500000,0,-1.2842249870,,,
2.2343750000,0,-1.0949859619,,,
2.2500000000,0,-0.8446198106,,,
2.2656250000,0,-0.5155715942,,,
2.2812500000,0,-0.0603866614,,,
2.2968750000,0,0.5646057129,,,
2.3125000000,0,1.3015060425,,,
2.3281250000,0,2.0268480778,,,
2.3437500000,0,2.5744400024,,,
2.3593750000,0,2.8549420834,,,
2.3750000000,0,2.8821790218,,,
2.3906250000,0,2.7468719482,,,
2.4062500000,0,2.5211260319,,,
2.4218750000,0,2.2053759098,,,
2.4375000000,0,1.7505719662,,,
2.4531250000,0,1.1349329948,,,
2.4687500000,0,0.4341202080,,,
2.4843750000,0,-0.1916732937,,,
2.5000000000,0,-0.5901259780,,,
2.5156250000,0,-0.7046051025,,,
2.5312500000,0,-0.5979843140,,,
2.5468750000,0,-0.4046173096,,,
2.5625000000,0,-0.2328567952,,,
2.5781250000,0,-0.0992584229,,,
2.5937500000,0,0.0425796509,,,
2.6093750000,0,0.2325516045,,,
2.6250000000,0,0.4500504136,,,
2.6406250000,0,0.6194077134,,,
2.6562500000,0,0.6658020020,,,
2.6718750000,0,0.5716323853,,,
2.6875000000,0,0.3957825005,,,
2.7031250000,0,0.2038650960,,,
2.7187500000,0,0.0578155518,,,
2.7343750000,0,-0.0387649499,,,
2.7500000000,0,-0.1011658013,,,
2.7656250000,0,-0.1365662068,,,
2.7812500000,0,-0.1308517009,,,
2.7968750000,0,-0.0469207801,,,
2.8125000000,0,0.1337967068,,,
2.8281250000,0,0.4102858901,,,
2.8437500000,0,0.7317810059,,,
2.8593750000,0,1.0357890129,,,
2.8750000000,0,1.2557220459,,,
2.8906250000,0,1.3519970179,,,
2.9062500000,0,1.2910460234,,,
2.9218750000,0,1.0724560022,,,
2.9375000000,0,0.7156372070,,,
2.9531250000,0,0.2742004097,,,
2.9687500000,0,-0.1799622029,,,
2.9843750000,0,-0.5588837266,,,
3.0000000000,0,-0.8131027222,,,
3.0156250000,0,-0.9262847900,,,
3.0312500000,0,-0.9305725098,,,
3.0468750000,0,-0.8776779175,,,
3.0625000000,0,-0.8184967041,,,
3.0781250000,0,-0.7717589736,,,
3.0937500000,0,-0.7457427979,,,
3.1093750000,0,-0.7294617295,,,
3.1250000000,0,-0.7116394043,,,
3.1406250000,0,-0.6634215713,,,
3.1562500000,0,-0.5623703003,,,
3.1718750000,0,-0.4049530029,,,
3.1875000000,0,-0.1951446980,,,
3.2031250000,0,0.0266418494,,,
3.2187500000,0,0.2245406955,,,
3.2343750000,0,0.3639984131,,,
3.2500000000,0,0.4263153076,,,
3.2656250000,0,0.4240112007,,,
3.2812500000,0,0.3723678887,,,
3.2968750000,0,0.2843627930,,,
3.3125000000,0,0.1625366062,,,
3.3281250000,0,0.0130920401,,,
3.3437500000,0,-0.1574326009,,,
3.3593750000,0,-0.3364028931,,,
3.3750000000,0,-0.5022506714,,,
3.3906250000,0,-0.6237717271,,,
3.4062500000,0,-0.6724318862,,,
3.4218750000,0,-0.6337813735,,,
3.4375000000,0,-0.4898070991,,,
3.4531250000,0,-0.2297286987,,,
3.4687500000,0,0.1246033013,,,
3.4843750000,0,0.5264359117,,,
3.5000000000,0,0.8987503052,,,
3.5156250000,0,1.1522599459,,,
3.5312500000,0,1.2225650549,,,
3.5468750000,0,1.1047519445,,,
3.5625000000,0,0.8640136719,,,
3.5781250000,0,0.6351395249,,,
3.5937500000,0,0.5494536757,,,
3.6093750000,0,0.6529235840,,,
3.6250000000,0,0.8539276123,,,
3.6406250000,0,0.9553527832,,,
3.6562500000,0,0.7610930800,,,
3.6718750000,0,0.2140731961,,,
3.6875000000,0,-0.5495604873,,,
3.7031250000,0,-1.2418520451,,,
3.7187500000,0,-1.5773390532,,,
3.7343750000,0,-1.4204330444,,,
3.7500000000,0,-0.8662567139,,,
3.7656250000,0,-0.1699142009,,,
3.7812500000,0,0.4067992866,,,
3.7968750000,0,0.7288361192,,,
3.8125000000,0,0.8192214966,,,
3.8281250000,0,0.8001021743,,,
3.8437500000,0,0.7903441787,,,
3.8593750000,0,0.8140181899,,,
3.8750000000,0,0.8161010742,,,
3.8906250000,0,0.7146912217,,,
3.9062500000,0,0.4714202881,,,
3.9218750000,0,0.0979003906,,,
3.9375000000,0,-0.3421477973,,,
3.9531250000,0,-0.7642670274,,,
3.9687500000,0,-1.0804289579,,,
3.9843750000,0,-1.2211149931,,,
4.0000000000,0,-1.1251749992,,,
4.0156250000,0,-0.8002396226,,,
4.0312500000,0,-0.3139190972,,,
4.0468750000,0,0.2146148980,,,
4.0625000000,0,0.6525115967,,,
4.0781250000,0,0.9131165147,,,
4.0937500000,0,0.9927291870,,,
4.1093750000,0,0.9496154785,,,
4.1250000000,0,0.8661652207,,,
4.1406250000,0,0.7983856201,,,
4.1562500000,0,0.7330245972,,,
4.1718750000,0,0.6334304810,,,
4.1875000000,0,0.4434737861,,,
4.2031250000,0,0.1622008979,,,
4.2187500000,0,-0.1842803955,,,
4.2343750000,0,-0.5384215713,,,
4.2500000000,0,-0.8529509902,,,
4.2656250000,0,-1.0937880278,,,
4.2812500000,0,-1.2270809412,,,
4.2968750000,0,-1.2242510319,,,
4.3125000000,0,-1.0617519617,,,
4.3281250000,0,-0.7477645874,,,
4.3437500000,0,-0.3451232910,,,
4.3593750000,0,0.0369186401,,,
4.3750000000,0,0.3028258979,,,
4.3906250000,0,0.4040451050,,,
4.4062500000,0,0.3605042100,,,
4.4218750000,0,0.2345200032,,,
4.4375000000,0,0.0835952833,,,
4.4531250000,0,-0.0818099976,,,
4.4687500000,0,-0.2853470147,,,
4.4843750000,0,-0.5444335938,,,
4.5000000000,0,-0.8000031114,,,
4.5156250000,0,-0.9335938096,,,
4.5312500000,0,-0.8169022202,,,
4.5468750000,0,-0.3986510932,,,
4.5625000000,0,0.2349548042,,,
4.5781250000,0,0.8704453111,,,
4.5937500000,0,1.2705149651,,,
4.6093750000,0,1.2813340425,,,
