Time:4Hz,Epoch,Channel 1,Event Id,Event Date,Event Duration
0,0,0.95458281,,,
0.25,0,0.972514927,,,
0.5,0,0.985323608,,,
0.75,0,0.986604512,,,
1,0,0.981481016,,,
1.25,0,0.986604512,,,
1.5,0,0.98276192,,,
1.75,0,0.984042704,,,
2,0,0.987885416,,,
2.25,0,0.984042704,,,
2.5,0,0.98276192,,,
2.75,0,0.977638423,,,
3,0,0.975076675,,,
3.25,0,0.97635752,,,
3.5,0,0.977638423,,,
3.75,0,0.969953179,,,
4,0,0.97635752,,,
4.25,0,0.971234024,,,
4.5,0,0.975076675,,,
4.75,0,0.975076675,,,
5,0,0.97635752,,,
5.25,0,0.971234024,,,
5.5,0,0.975076675,,,
5.75,0,0.969953179,,,
6,0,0.968672276,,,
6.25,0,0.964829683,,,
6.5,0,0.96354878,,,
6.75,0,0.960987091,,,
7,0,0.955863595,,,
7.25,0,0.957144499,,,
7.5,0,0.950740218,,,
7.75,0,0.950740218,,,
8,1,0.940493226,,,
8.25,1,0.946897626,,,
8.5,1,0.936650574,,,
8.75,1,0.94177407,,,
9,1,0.940493226,,,
9.25,1,0.939212322,,,
9.5,1,0.931527078,,,
9.75,1,0.931527078,,,
10,1,0.927684486,,,
10.25,1,0.931527078,,,
10.5,1,0.925122798,,,
10.75,1,0.927684486,,,
11,1,0.926403582,,,
11.25,1,0.92896539,,,
11.5,1,0.932807982,,,
11.75,1,0.93536967,,,
12,1,0.94177407,,,
12.25,1,0.94177407,,,
12.5,1,0.957144499,,,
12.75,1,0.981481016,,,
13,1,0.991727889,,,
13.25,1,0.995570481,,,
13.5,1,0.994289696,,,
13.75,1,0.993008792,,,
14,1,0.991727889,,,
14.25,1,0.990446985,,,
14.5,1,0.990446985,,,
14.75,1,0.9891662,,,
15,1,0.990446985,,,
15.25,1,0.9891662,,,
15.5,1,0.993008792,,,
15.75,1,0.987885416,,,
16,2,0.995570481,,,
16.25,2,0.986604512,,,
16.5,2,0.990446985,,,
16.75,2,0.991727889,,,
17,2,0.991727889,,,
17.25,2,0.9891662,,,
17.5,2,0.990446985,,,
17.75,2,0.995570481,,,
18,2,0.9891662,,,
18.25,2,0.990446985,,,
18.5,2,0.993008792,,,
18.75,2,0.994289696,,,
19,2,0.9891662,,,
19.25,2,0.991727889,,,
19.5,2,0.991727889,,,
19.75,2,0.999413073,,,
20,2,0.993008792,,,
20.25,2,0.999413073,,,
20.5,2,0.995570481,,,
20.75,2,1.000694037,,,
21,2,1.000694037,,,
21.25,2,1.003255963,,,
21.5,2,1.005818009,,,
21.75,2,1.016064048,,,
22,2,1.023749948,,,
22.25,2,1.044244051,,,
22.5,2,1.042963028,,,
22.75,2,1.05448997,,,
23,2,1.05321002,,,
23.25,2,1.05448997,,,
23.5,2,1.05321002,,,
23.75,2,1.060894966,,,
24,3,1.060894966,,,
24.25,3,1.077546001,,,
24.5,3,1.085230947,,,
24.75,3,1.108286977,,,
25,3,1.126219034,,,
25.25,3,1.149274945,,,
25.5,3,1.200508952,,,
25.75,3,1.283766031,,,
26,3,1.299136043,,,
26.25,3,1.306821942,,,
26.5,3,1.311944962,,,
26.75,3,1.311944962,,,
27,3,1.323472977,,,
27.25,3,1.332438946,,,
27.5,3,1.351652026,,,
27.75,3,1.356775045,,,
28,3,1.368302941,,,
28.25,3,1.400324941,,,
28.5,3,1.45668304,,,
28.75,3,1.457963944,,,
29,3,1.482300997,,,
29.25,3,1.446534991,,,
29.5,3,1.423480034,,,
29.75,3,1.414513946,,,
30,3,1.404266954,,,
30.25,3,1.395300984,,,
30.5,3,1.404266954,,,
30.75,3,1.401705027,,,
31,3,1.391458035,,,
31.25,3,1.387614965,,,
31.5,3,1.383772969,,,
31.75,3,1.379930019,,,
32,4,1.379930019,,,
32.25,4,1.377367973,,,
32.5,4,1.37608695,,,
32.75,4,1.383772969,,,
33,4,1.381211042,,,
33.25,4,1.383772969,,,
33.5,4,1.37608695,,,
33.75,4,1.381211042,,,
34,4,1.378648996,,,
34.25,4,1.386333942,,,
34.5,4,1.385053992,,,
34.75,4,1.385053992,,,
35,4,1.228788018,,,
35.25,4,1.208294034,,,
35.5,4,1.180114985,,,
35.75,4,1.180114985,,,
36,4,1.104542971,,,
36.25,4,1.075083017,,,
36.5,4,1.224944949,,,
36.75,4,1.271056056,,,
37,4,1.245439053,,,
37.25,4,1.194203973,,,
37.5,4,1.294111967,,,
37.75,4,1.319728971,,,
38,4,1.397861958,,,
38.25,4,1.420917988,,,
38.5,4,1.429883957,,,
38.75,4,1.437569022,,,
39,4,1.333819032,,,
39.25,4,1.367120981,,,
39.5,4,1.464467049,,,
39.75,4,1.470872045,,,
40,5,1.48752296,,,
40.25,5,1.488803983,,,
40.5,5,1.491366029,,,
