Time:4Hz,Epoch,Channel 1,Event Id,Event Date,Event Duration
0.0000000000,0,2.8154129982,,,
0.2500000000,0,2.8230979443,,,
0.5000000000,0,2.8205358982,,,
0.7500000000,0,2.8205358982,,,
1.0000000000,0,2.8230979443,,,
1.2500000000,0,2.8397490978,,,
1.5000000000,0,2.8538389206,,,
1.7500000000,0,2.8820180893,,,
2.0000000000,0,2.8922650814,,,
2.2500000000,0,2.9140388966,,,
2.5000000000,0,2.9191629887,,,
2.7500000000,0,2.9127590656,,,
3.0000000000,0,2.9050729275,,,
3.2500000000,0,2.9012310505,,,
3.5000000000,0,2.8909840584,,,
3.7500000000,0,2.8820180893,,,
4.0000000000,0,2.8832991123,,,
4.2500000000,0,2.8717710972,,,
4.5000000000,0,2.8704900742,,,
4.7500000000,0,2.8602430820,,,
5.0000000000,0,2.8666470051,,,
5.2500000000,0,2.8679280281,,,
5.5000000000,0,2.8781750202,,,
5.7500000000,0,2.8897030354,,,
6.0000000000,0,2.9037919044,,,
6.2500000000,0,2.9089159966,,,
6.5000000000,0,2.9127590656,,,
6.7500000000,0,2.9101970196,,,
7.0000000000,0,2.9012310505,,,
7.2500000000,0,2.8986690044,,,
7.5000000000,0,2.8807370663,,,
7.7500000000,0,2.8845789433,,,
8.0000000000,1,2.8794560432,,,
8.2500000000,1,2.8704900742,,,
8.5000000000,1,2.8717710972,,,
8.7500000000,1,2.8743319511,,,
9.0000000000,1,2.8781750202,,,
9.2500000000,1,2.8832991123,,,
9.5000000000,1,2.8871409893,,,
9.7500000000,1,2.8897030354,,,
10.0000000000,1,2.9037919044,,,
10.2500000000,1,2.9012310505,,,
10.5000000000,1,2.9076349735,,,
10.7500000000,1,2.9076349735,,,
11.0000000000,1,2.9063539505,,,
11.2500000000,1,2.9025120735,,,
11.5000000000,1,2.9178819656,,,
11.7500000000,1,2.9434990883,,,
12.0000000000,1,2.9793639183,,,
12.2500000000,1,3.0190711021,,,
12.5000000000,1,3.0446879864,,,
12.7500000000,1,3.0677440166,,,
13.0000000000,1,3.0792710781,,,
13.2500000000,1,3.1151359081,,,
13.5000000000,1,3.1433150768,,,
13.7500000000,1,3.1714940071,,,
14.0000000000,1,3.1894259453,,,
14.2500000000,1,3.2137629986,,,
14.5000000000,1,3.2419419289,,,
14.7500000000,1,3.2637159824,,,
15.0000000000,1,3.2739629745,,,
15.2500000000,1,3.2752439976,,,
15.5000000000,1,3.2624359131,,,
15.7500000000,1,3.2470650673,,,
16.0000000000,2,3.2201669216,,,
16.2500000000,2,3.1843030453,,,
16.5000000000,2,3.1650900841,,,
16.7500000000,2,3.1471569538,,,
17.0000000000,2,3.1317870617,,,
17.2500000000,2,3.1215400696,,,
17.5000000000,2,3.1151359081,,,
17.7500000000,2,3.1023271084,,,
18.0000000000,2,3.0972030163,,,
18.2500000000,2,3.0920801163,,,
18.5000000000,2,3.0779910088,,,
18.7500000000,2,3.0741479397,,,
19.0000000000,2,3.0574970245,,,
19.2500000000,2,3.0536539555,,,
19.5000000000,2,3.0574970245,,,
19.7500000000,2,3.0767099857,,,
20.0000000000,2,3.1087319851,,,
20.2500000000,2,3.1445960999,,,
20.5000000000,2,3.1689319611,,,
20.7500000000,2,3.1804599762,,,
21.0000000000,2,3.1855840683,,,
21.2500000000,2,3.1804599762,,,
21.5000000000,2,3.1855840683,,,
21.7500000000,2,3.1855840683,,,
22.0000000000,2,3.1894259453,,,
